NAME,PUNTO GPS
OLLA POPULAR VIÑAS ,"https://www.google.com/maps/place/25%C2%B014'25.0%22S+57%C2%B035'01.5%22W/@-25.2384471,-57.5882032,3372m/data=!3m1!1e3!4m5!3m4!1s0x0:0x0!8m2!3d-25.2402656!4d-57.5837552?hl=es"
OLLA POPULAR TEODORA VALENZUELA,"https://www.google.com/maps/place/25%C2%B014'43.2%22S+57%C2%B035'16.9%22W/@-25.2453211,-57.5902114,709m/data=!3m2!1e3!4b1!4m5!3m4!1s0x0:0x0!8m2!3d-25.2453211!4d-57.5880227?hl=es"
OLLA POPULAR SAN ROQUE ,"https://www.google.com/maps/place/25%C2%B014'52.9%22S+57%C2%B035'17.6%22W/@-25.2480331,-57.5904022,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0x0!8m2!3d-25.2480331!4d-57.5882135?hl=es"
ESCUELA BÁSICA N° 322 PROR. SILVIA MIRANDA DE CUETO- ENTREGAN KITS DE ALIMENTOS CADA 12 o15 DIAS,"https://www.google.com/maps/place/Escuela+Silvia+Miranda+de+Cueto/@-25.2543109,-57.5873314,17z/data=!4m5!3m4!1s0x945da65064d85bd7:0x17d12e07e7576fdd!8m2!3d-25.2540213!4d-57.5880146?hl=es"
OLLA POPULAR ALMUERZO SOLIDARIO-REF. PABLO PEREIRA,"https://www.google.com/maps/place/Ca%C3%B1adon,+Asunci%C3%B3n/@-25.2529858,-57.588656,17z/data=!4m5!3m4!1s0x945da65070ff267f:0x414b9889ca23e2d3!8m2!3d-25.2534318!4d-57.5882997?hl=es"
PUNTO DE ACCESO PELOPINCHO,"https://www.google.com/maps/place/Fundacion+Fernando+Oca+del+Valle+-+Banco+de+Ojos/@-25.2837059,-57.6246113,17z/data=!4m8!1m2!2m1!1sManuel+Gondra+casi,+Asunci%C3%B3n,+Paraguay!3m4!1s0x945da7e83161eb07:0x155d7029caf0d95c!8m2!3d-25.2833124!4d-57.6221967?hl=es"
Colegio Nacional de EMD JUAN RAMÓN DAHLQUIST,"https://www.google.com.py/maps/place/Colegio+Nacional+de+EMD+JUAN+RAM%C3%93N+DAHLQUIST/@-25.2834335,-57.6236053,15.5z/data=!4m8!1m2!2m1!1sJUAN+RAMON+DAHLQUIST,+Asunci%C3%B3n!3m4!1s0x945da7e91e749313:0x59f8a6a2becc002d!8m2!3d-25.2833797!4d-57.6238744?hl=es"
OLLA POPULAR REFUGIO RC4,"https://www.google.com/maps/place/25%C2%B014'25.3%22S+57%C2%B033'09.7%22W/@-25.2403647,-57.5548919,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0x0!8m2!3d-25.2403647!4d-57.5527032?hl=es"
ESCUELA SANTA ROSA DE LIMA -ENTREGAN KITS DE ALIMENTOS CADA 12 O 15 DIAS,"https://www.google.com/maps/place/Gral+Francisco+Roa,+Asunci%C3%B3n/@-25.2570921,-57.5838888,2835m/data=!3m1!1e3!4m5!3m4!1s0x945da65b3e1f7d81:0xd6e6cc0efd45e8ba!8m2!3d-25.2537001!4d-57.5834988?hl=es"
ESCUELA BASICA 1909  FRAY BARTOLOME DE LAS CASAS -ENTREGAN KITS DE ALIMENTOS CADA 12 O 15 DIAS,"https://www.google.com/maps/place/Escuela+Fray+Bartolom%C3%A9+De+Las+Casas/@-25.2394487,-57.5859734,15.75z/data=!4m5!3m4!1s0x945da6f776170feb:0x1ceb5a2ae170064b!8m2!3d-25.2433425!4d-57.5815186?hl=es"
