ID COMERCIO,EMPRESA,DIRECCION,TELEFONOS,PROPIETARIO,ANTIGÜEDAD,MAYORISTA,MINORISTA,SERVICIOS,TIPO,FAMILIAR?,RUC,LATITUD,LONGITUD,RUBRO
594,DESPENSA BLANQUI,ELIGIO AYALA C/ PJC,0,MUJER,768,NO,SÍ,NO,MICRO,SÍ,0,-23.41467,-57.44804,ELECTRODOMESTICOS
595,LIDER DISTRIBUIDORA,CALLE CABRAL ESQUINA YTORORO,331240920,MUJER,216,SÍ,SÍ,NO,MEDIANA,NO,1831390-6,-23.40584,-57.43842,ASERRADEROS
596,DOS HERMANAS,AVENIDA HERIBERTO COLOMBINO Y JUAN BAUTISTA IBAÑEZ ROMERO,0,MUJER,0,NO,SÍ,NO,MICRO,SÍ,0,-23.41457,-57.43714,ALMACENAJES - Depositos
597,MARIO MOTO REPUESTO,DON BOSCO CASI SCREIBER,(0331)241481,HOMBRE,48,NO,SÍ,NO,MICRO,SÍ,4665007-5,-23.40755,-57.43934,MOTOCICLETAS - Repuestos y Accesorios
598,ALMACEN,NUESTRA SRA DE LA CONCEPCIÓN / MANUEL GAMARRA ,982667102,MUJER,420,NO,SÍ,NO,MICRO,SÍ,0,-23.41563,-57.44861,CENTROS COMERCIALES
599,TODO POR 20 MIL,"CABRAL, PROF.596 CONCEPCIÓN ESQUINA DON BOSCO",0,HOMBRE,14,NO,SÍ,NO,MICRO,NO,2235739,-23.40748,-57.43897,COMESTIBLES - Ver: Supermercados - Autoservices
600,CARNICERIA FELIX,DON BOSCO CASI PROFESOR CABRAL,971824630,HOMBRE,24,NO,SÍ,NO,MICRO,SÍ,0,-23.40743,-57.43881,PRENDAS - Ver. Ropas
601,PLANETA COMERCIAL,CALLE PADRE SARMIENTO CASI SANTOS CANILLA,331243328,HOMBRE,60,SÍ,SÍ,NO,MICRO,SÍ,3620743-8,-23.40663,-57.43777,CENTROS COMERCIALES
602,MOVITEL SUCURSAL 1,CALLE SARMIENTO,331242650,MUJER,12,NO,SÍ,NO,MICRO,NO,3230077-8,-23.40668,-57.438,ROPAS - Importadas
603,COMERCIAL LA BADEÑA,PROFESOR CABRAL,984961070,HOMBRE,60,NO,SÍ,NO,PEQUEÑA,SÍ,1174565-7,-23.40742,-57.43909,COMESTIBLES - Distribuidoras
604,PELUQUERIA JOSEF,CALLE SARMIENTO,986147550,MUJER,12,NO,NO,SÍ,MICRO,NO,0,-23.40668,-57.43805,COMPRA - VENTA DE ARTICULOS
605,SANTA TERESA,PROFESOR CABRAL CASI DON BOSCO,981757014,MUJER,36,NO,SÍ,NO,MICRO,SÍ,3869723-9,-23.40729,-57.43895,AUTOMOTORES - Repuestos y Accesorios
606,DESPENSA ELISABETH ,MADRE CONCEPCIONERA,971806440,MUJER,84,NO,SÍ,NO,MICRO,SÍ,0,-23.42073,-57.44439,LACTEOS - Productos
607,FANTASIA MODAS,CALLE SARMIENTO,975358876,MUJER,6,NO,SÍ,NO,MICRO,SÍ,0,-23.40667,-57.43814,JOYAS - Fabricas
608,ESTUDIO JURÍDICO JAVIER BENÍTEZ ,ROMUALDO IRIGOYEN ,972736367,ORGANIZACION,12,NO,NO,SÍ,MICRO,NO,0,-23.42156,-57.44515,CENTROS COMERCIALES
609,EVER,PROFESOR CABRAL ,973579464,HOMBRE,98,NO,SÍ,NO,MICRO,SÍ,3706923-3,-23.40682,-57.43888,EMBUTIDOS - Distribuidores
610,AIDY NOVEDADES,MAYOR TEÓFILO MEDINA,985421325,MUJER,48,NO,SÍ,NO,MICRO,NO,0,-23.41652,-57.43422,ROPERIAS
611,ROSALI,PROFESOR CABRAL,973437509,MUJER,156,NO,SÍ,NO,MICRO,SÍ,0,-23.40684,-57.43894,VETERINARIAS
612,DESPENSA DAVID ,CARRERA DEL CHACO ,331241150,MUJER,96,NO,SÍ,NO,MICRO,SÍ,0,-23.41663,-57.44642,CAMARAS DE COMERCIO
613,DAVID REPUESTOS,CALLE SARMIENTO,331246666,MUJER,36,NO,SÍ,NO,MICRO,NO,4316685-7,-23.40668,-57.43858,DESPENSAS
614,SASA CONFECCION Y SERIGRAFIA,PROFESOR CABRAL ESQUINA SCREIBER,975803117,MUJER,240,NO,SÍ,NO,MICRO,SÍ,1670098-8,-23.40675,-57.4388,ZAPATERIAS - Ver: Calzados
615,TALLER NK,BASILIO QUEVEDO ,972210409,HOMBRE,96,NO,NO,SÍ,MICRO,SÍ,0,-23.42182,-57.44502,CAFE - Servicios de
616,MINIMERCADO SAN VICENTE,CALLE SAEMIENTO,972522326,MUJER,20,NO,SÍ,NO,MICRO,NO,3681416-4,-23.40668,-57.4386,ODONTOLOGIA - Clinicas
617,COMEDOR MARIA AUXILIADORA,PROFESOR CABRAL CASI SARMIENTO,971875472,MUJER,6,NO,SÍ,NO,MICRO,SÍ,0,-23.40676,-57.43823,ELECTROMECANICAS - Materiales
