id,channel,name,authorized,description,department,city,frequency,source,link,lat,lon,agreement
ZPD800,210,"RADIO KUETUVY - ZPD800 - 89,9MHz",COMUNIDAD INDIGENA KUETUVY-KO'ETI,"Departamento: Canindeyu Localidad: Comunidad Indigena Kuetyvy - Ko'eti-Karuperá Frecuencia: 89,9MHz P.E.R.: 100W",Canindeyu,Comunidad Indigena Kuetyvy - Ko'eti-Karuperá,"89,9",CONATEL,http://umap.openstreetmap.fr/en/map/pymc_349107#16/-24.286667/-55.415556,-24.286667,-55.415556,"Sí, de acuerdo"
ZPD855,200,"RADIO LIBRE FM - ZPD855 - 87,9MHz",COMISIÓN VECINAL PROGRESO,"Departamento: Presidente Hayes Localidad: Benjamín Aceval Frecuencia: 87,9MHz P.E.R.: 50W",Presidente Hayes,Benjamín Aceval,"87,9",CONATEL,http://umap.openstreetmap.fr/en/map/pymc_349107#16/-24.997778/-57.557778,-24.997778,-57.557778,"Sí, de acuerdo"
ZPD875,298,"RADIO MARÍA AUXILIADORA - ZPD875 - 107,5MHz",ASOCIACIÓN RADIO COMUNITARIA MARIA AUXILIADORA,"Departamento: Alto Paraguay Localidad: Fuerte Olimpo Frecuencia: 107,5MHz P.E.R.: 300W",Alto Paraguay,Fuerte Olimpo,"107,5",CONATEL,http://umap.openstreetmap.fr/en/map/pymc_349107#16/-21.04/-57.872222,-21.04,-57.872222,"Sí, de acuerdo"
ZPD851,269,"RADIO METRO FM - ZPD851 - 101,7MHz",ASOCIACIÓN PARA LA ASISTENCIA INTEGRAL. JURÍDICA Y DEPORTIVA SAN FRANCISCO,"Departamento: Capital Localidad: Asunción Frecuencia: 101,7MHz P.E.R.: 50W",Capital,Asunción,"101,7",CONATEL,http://umap.openstreetmap.fr/en/map/pymc_349107#16/-25.305556/-57.619167,-25.305556,-57.619167,"Sí, de acuerdo"
ZPD632,201,"RADIO RIVERA FM - ZPD632 - 88,1MHz",ASOCIACIÓN SAN ANTONIO COMUNICACIONES,"Departamento: Concepción Localidad: Concepción Frecuencia: 88,1MHz P.E.R.: 50W",Concepción,Concepción,"88,1",CONATEL,http://umap.openstreetmap.fr/en/map/pymc_349107#16/-23.422222/-57.445,-23.422222,-57.445,"Sí, de acuerdo"
ZPC315,241,"RADIO SAN ANTONIO - ZPC315 - 96,1MHz",ASOCIACIÓN RADIO COMUNITARIA SAN ANTONIO,"Departamento: San Pedro Localidad: San Pedro Frecuencia: 96,1MHz P.E.R.: 50W",San Pedro,San Pedro,"96,1",CONATEL,http://umap.openstreetmap.fr/en/map/pymc_349107#16/-24.086389/-57.070833,-24.086389,-57.070833,"Sí, de acuerdo"
ZPC805,269,"RADIO SUR - ZPC805 - 101,7MHz",FUNDACIÓN SAN MARTÍN,"Departamento: Central Localidad: Guarambaré Frecuencia: 101,7MHz P.E.R.: 50W",Central,Guarambaré,"101,7",CONATEL,http://umap.openstreetmap.fr/en/map/pymc_349107#16/-25.491944/-57.458611,-25.491944,-57.458611,"Sí, de acuerdo"
ZPD897,200,"RADIO TAPE PYAHU - ZPD897 - 87,9MHz",CENTRO DE AYUDA MUTUA SALUD PARA TODOS,"Departamento: Capital Localidad: Asunción Frecuencia: 87,9MHz P.E.R.: 25W",Capital,Asunción,"87,9",CONATEL,http://umap.openstreetmap.fr/en/map/pymc_349107#16/-25.312222/-57.667778,-25.312222,-57.667778,"Sí, de acuerdo"
ZPD744,200,"RADIO TAPÚA - ZPD744 - 87,9MHz",UNIÓN DE COMUNICADORES DEL ACCESO NORTE METROPOLITANO,"Departamento: Central Localidad: Mariano Roque Alonso Frecuencia: 87,9MHz P.E.R.: 10W",Central,Mariano Roque Alonso,"87,9",CONATEL,http://umap.openstreetmap.fr/en/map/pymc_349107#16/-25.196944/-57.503611,-25.196944,-57.503611,"Sí, de acuerdo"
ZPC859,244,"RADIO TRICOLOR - ZPC859 - 96,7MHz",RADIO TRICOLOR FM 103.9 DE SALTO DEL GUAIRÁ,"Departamento: Canindeyu Localidad: Salto del Guairá Frecuencia: 96,7MHz P.E.R.: 50W",Canindeyu,Salto del Guairá,"96,7",CONATEL,http://umap.openstreetmap.fr/en/map/pymc_349107#16/-24.033333/-54.3,-24.033333,-54.3,"Sí, de acuerdo"
