id,channel,name,authorized,description,department,city,source,link,lat,lon,agreement,category
ZPC479,279,"ALFA Y OMEGA FM - ZPC479 - 103,7MHz",ASOCIACIÓN COMUNITARIA ALFA Y OMEGA COMUNICACIONES,"Departamento: Concepción<br>Localidad: Concepción<br>Frecuencia: 103,7MHz<br>P.E.R.: 50W",Concepción,Concepción,CONATEL,http://umap.openstreetmap.fr/en/map/pymc_349107#16/-23.417222/-57.423056,-23.417222,-57.423056,"SI, Acepto",Radios Comunitarias
ZPC357,246,"ALTERNATIVA FM - ZPC357 - 97,1MHz",ASOCIACIÓN ALTERNATIVA FM RADIO COMUNITARIA,"Departamento: Amambay<br>Localidad: Bella Vista<br>Frecuencia: 97,1MHz<br>P.E.R.: 50W",Amambay,Bella Vista,CONATEL,http://umap.openstreetmap.fr/en/map/pymc_349107#16/-22.133333/-56.5,-22.133333,-56.5,"SI, Acepto",Radios Comunitarias
ZPD760,269,"AMANECER FM - ZPD760 - 101,7MHz",ASOCIACIÓN CIVIL AMANECER COMUNICACIONES,"Departamento: Presidente Hayes<br>Localidad: Villa Hayes<br>Frecuencia: 101,7MHz<br>P.E.R.: 25W",Presidente Hayes,Villa Hayes,CONATEL,http://umap.openstreetmap.fr/en/map/pymc_349107#16/-25.091944/-57.523611,-25.091944,-57.523611,"SI, Acepto",Radios Comunitarias
ZPD831,269,"AMANECER FM - ZPD831 - 101,7MHz",ASOCIACION RADIO AMANECER,"Departamento: Central<br>Localidad: San Lorenzo<br>Frecuencia: 101,7MHz<br>P.E.R.: 25W",Central,San Lorenzo,CONATEL,http://umap.openstreetmap.fr/en/map/pymc_349107#16/-25.387778/-57.507222,-25.387778,-57.507222,"SI, Acepto",Radios Comunitarias
ZPD715,201,"AMISTAD FM - ZPD715 - 88,1MHz",ASOCIACIÓN RADIO COMUNITARIA AMISTAD FM,"Departamento: Canindeyu<br>Localidad: Salto del Guairá<br>Frecuencia: 88,1MHz<br>P.E.R.: 50W",Canindeyu,Salto del Guairá,CONATEL,http://umap.openstreetmap.fr/en/map/pymc_349107#16/-24.063611/-54.306389,-24.063611,-54.306389,"SI, Acepto",Radios Comunitarias
ZPC492,204,"ANUNCIA VILLA OLIVA - ZPC492 - 88,7MHz",ASOCIACIÓN DE AMIGOS DE LA RADIO COMUNITARIA VILLA OLIVA,"Departamento: Ñeembucú<br>Localidad: Villa Oliva<br>Frecuencia: 88,7MHz<br>P.E.R.: 50W",Ñeembucú,Villa Oliva,CONATEL,http://umap.openstreetmap.fr/en/map/pymc_349107#16/-26.015556/-57.858889,-26.015556,-57.858889,"SI, Acepto",Radios Comunitarias
ZPC816,212,"ARANDÚ FM - ZPC816 - 90,3MHz",COORDINACIÓN REGIONAL DE AGRICULTORES DE ITAPÚA,"Departamento: Itapúa<br>Localidad: Puerto Triunfo<br>Frecuencia: 90,3MHz<br>P.E.R.: 50W",Itapúa,Puerto Triunfo,CONATEL,http://umap.openstreetmap.fr/en/map/pymc_349107#16/-26.706389/-55.095,-26.706389,-55.095,"SI, Acepto",Radios Comunitarias
ZPC355,298,"ARAPY FM - ZPC355 - 107,5MHz",ASOCIACIÓN DE RADIO COMUNITARIA ARAPY FM,"Departamento: Caaguazú<br>Localidad: Mbutuy<br>Frecuencia: 107,5MHz<br>P.E.R.: 50W",Caaguazú,Mbutuy,CONATEL,http://umap.openstreetmap.fr/en/map/pymc_349107#16/-24.966667/-56.283333,-24.966667,-56.283333,"SI, Acepto",Radios Comunitarias
ZPD866,269,"ARAVERA FM - ZPD866 - 101,7MHz",ASOCIACIÓN RADIO COMUNITARIA ARAVERA FM,"Departamento: Cordillera<br>Localidad: Arroyos y Esteros<br>Frecuencia: 101,7MHz<br>P.E.R.: 50W",Cordillera,Arroyos y Esteros,CONATEL,http://umap.openstreetmap.fr/en/map/pymc_349107#16/-25.059444/-57.16,-25.059444,-57.16,"SI, Acepto",Radios Comunitarias
ZPC323,200,"AREGUÁ FM COMUNITARIA - ZPC323 - 87,9MHz",ASOCIACIÓN FRATERNIDAD,"Departamento: Central<br>Localidad: Areguá<br>Frecuencia: 87,9MHz<br>P.E.R.: 50W",Central,Areguá,CONATEL,http://umap.openstreetmap.fr/en/map/pymc_349107#16/-25.305556/-57.416389,-25.305556,-57.416389,"SI, Acepto",Radios Comunitarias
ZPD635,275,"ATALAYA FM - ZPD635 - 102,9MHz",ASOCIACIÓN CULTURAL SAN LUIS,"Departamento: Itapúa<br>Localidad: San Juan del Paraná<br>Frecuencia: 102,9MHz<br>P.E.R.: 50W",Itapúa,San Juan del Paraná,CONATEL,http://umap.openstreetmap.fr/en/map/pymc_349107#16/-27.241944/-55.998889,-27.241944,-55.998889,"SI, Acepto",Radios Comunitarias
ZPC798,200,"AURORA FM - ZPC798 - 87,9MHz",ASOCIACIÓN DE JÓVENES CAAZAPEÑOS POR LA CULTURA (AJCC),"Departamento: Caazapa<br>Localidad: Caazapá<br>Frecuencia: 87,9MHz<br>P.E.R.: 50W",Caazapa,Caazapá,CONATEL,http://umap.openstreetmap.fr/en/map/pymc_349107#16/-26.201389/-56.365833,-26.201389,-56.365833,"SI, Acepto",Radios Comunitarias
ZPD873,229,"AVIVADOS FM - ZPD873 - 93,7MHz",ASOCIACIÓN RADIO COMUNITARIA AVIVADOS FM,"Departamento: Canindeyu<br>Localidad: Curuguaty<br>Frecuencia: 93,7MHz<br>P.E.R.: 50W",Canindeyu,Curuguaty,CONATEL,http://umap.openstreetmap.fr/en/map/pymc_349107#16/-24.464167/-55.698333,-24.464167,-55.698333,"SI, Acepto",Radios Comunitarias
ZPD814,220,"BOQUERÓN FM - ZPD814 - 91,9MHz",ASOCIAICÓN PYTYVORÁ,"Departamento: Boquerón<br>Localidad: Filadelfia<br>Frecuencia: 91,9MHz<br>P.E.R.: 100W",Boquerón,Filadelfia,CONATEL,http://umap.openstreetmap.fr/en/map/pymc_349107#16/-22.361667/-60.021667,-22.361667,-60.021667,"SI, Acepto",Radios Comunitarias
ZPC477,217,"CABAÑAS FM - ZPC477 - 91,3MHz",ASOCIACIÓN RADIO COMUNITARIA CABAÑAS FM,"Departamento: Cordillera<br>Localidad: Caacupe (Compañía Cabañas)<br>Frecuencia: 91,3MHz<br>P.E.R.: 50W",Cordillera,Caacupe (Compañía Cabañas),CONATEL,http://umap.openstreetmap.fr/en/map/pymc_349107#16/-25.368333/-57.166667,-25.368333,-57.166667,"SI, Acepto",Radios Comunitarias
ZPD717,216,"CALANDRIA FM - ZPD717 - 91,1MHz",ASOCIACIÓN RADIO COMUNITARIA CALANDRIA FM,"Departamento: Caazapa<br>Localidad: Toro Blanco - Tava'i<br>Frecuencia: 91,1MHz<br>P.E.R.: 50W",Caazapa,Toro Blanco - Tava'i,CONATEL,http://umap.openstreetmap.fr/en/map/pymc_349107#16/-26.235833/-55.7025,-26.235833,-55.7025,"SI, Acepto",Radios Comunitarias
ZPD911,219,"CAÑADITA FM - ZPD911 - 91,7MHz",CENTRO COMUNITARIO CAÑADITA,"Departamento: Caaguazú<br>Localidad: Yhú<br>Frecuencia: 91,7MHz<br>P.E.R.: 50W",Caaguazú,Yhú,CONATEL,http://umap.openstreetmap.fr/en/map/pymc_349107#16/-25.17/-55.915833,-25.17,-55.915833,"SI, Acepto",Radios Comunitarias
